Date,Open,High,Low,Close,Adj Close,Volume,Ln,Num
11.03.2016,739.950012,744.900024,736.700012,744.869995,744.869995,1769000,9.540844838,1
14.03.2016,744.969971,754.26001,743.659973,750.23999,750.23999,1641200,9.551208355,2
15.03.2016,746.02002,753.01001,742.840027,750.570007,750.570007,1491600,9.551842831,3
16.03.2016,749.049988,759,746.5,757.359985,757.359985,1465300,9.564835388,4
17.03.2016,757.650024,765.340027,757.359985,758.47998,758.47998,2228200,9.566967291,5
18.03.2016,761.630005,762.140015,751.820007,755.409973,755.409973,2811100,9.56111602,6
21.03.2016,753.909973,763.340027,751.27002,762.159973,762.159973,1438700,9.573950033,7
22.03.2016,758.440002,765,757.880005,760.049988,760.049988,1104800,9.569950497,8
23.03.2016,763.349976,765.390015,756.030029,757.559998,757.559998,1233900,9.565216343,9
24.03.2016,751.200012,757.559998,750.5,754.840027,754.840027,1555800,9.560027117,10
28.03.2016,756.169983,758.299988,752.039978,753.280029,753.280029,1083800,9.557042471,11
29.03.2016,753.679993,767.179993,748.289978,765.890015,765.890015,1987100,9.58099342,12
30.03.2016,768.210022,777.309998,767.580017,768.340027,768.340027,2019800,9.585601103,13
31.03.2016,768.340027,769.080017,758.25,762.900024,762.900024,1627700,9.575350198,14
01.04.2016,757.159973,770.039978,755.200012,769.669983,769.669983,1583700,9.588096173,15
04.04.2016,769.51001,772.440002,761.789978,765.119995,765.119995,1346200,9.579542216,16
05.04.2016,758.130005,762.869995,755.599976,758.570007,758.570007,1223900,9.56713852,17
06.04.2016,757.840027,768.419983,756.299988,768.070007,768.070007,1257100,9.585094004,18
07.04.2016,765.320007,769.359985,757.5,760.119995,760.119995,1274900,9.570083375,19
08.04.2016,765.869995,767.130005,755.77002,759.469971,759.469971,1171700,9.568849112,20
11.04.2016,765.450012,767.219971,757.340027,757.539978,757.539978,1588700,9.565178216,21
12.04.2016,758.429993,764.919983,751.570007,764.320007,764.320007,1366600,9.578032985,22
13.04.2016,770.309998,775.75,764.590027,771.909973,771.909973,1771300,9.592288787,23
14.04.2016,775.359985,779.609985,773.219971,775.390015,775.390015,1348000,9.598778347,24
15.04.2016,775.5,780.929993,774.929993,780,780,1585600,9.607330314,25
18.04.2016,780.190002,788.549988,777.609985,787.679993,787.679993,1669700,9.621465822,26
19.04.2016,790.5,790.950012,770.27002,776.25,776.25,2197600,9.600377553,27
20.04.2016,779.159973,779.659973,771.27002,774.919983,774.919983,1713100,9.597903537,28
21.04.2016,777.309998,781.679993,771.549988,780,780,3881400,9.607330314,29
22.04.2016,743.909973,753.919983,730.369995,737.77002,737.77002,7039900,9.527027355,30
25.04.2016,735.349976,744.880005,735.099976,742.210022,742.210022,2472100,9.535683672,31
26.04.2016,744.419983,745.590027,720.320007,725.369995,725.369995,2793200,9.502573259,32
27.04.2016,725.320007,727.150024,709.080017,721.460022,721.460022,3313100,9.494775643,33
28.04.2016,723.289978,729.26001,703.200012,705.059998,705.059998,3129500,9.461602221,34
29.04.2016,704.119995,712.109985,703.780029,707.880005,707.880005,2913900,9.467361015,35
02.05.2016,711.919983,715.409973,706.359985,714.409973,714.409973,1673800,9.48060841,36
03.05.2016,712.5,713.369995,707.330017,708.440002,708.440002,1931000,9.468501866,37
04.05.2016,706.77002,715.049988,704.049988,711.369995,711.369995,1610200,9.474456314,38
05.05.2016,715,717.549988,709.450012,714.710022,714.710022,1483400,9.481214208,39
06.05.2016,712.200012,725.98999,711.950012,725.179993,725.179993,1997600,9.502195313,40
09.05.2016,726.700012,734.289978,723.5,729.130005,729.130005,1903700,9.510032262,41
10.05.2016,734.960022,740,731.609985,739.380005,739.380005,1627900,9.530172219,42
11.05.2016,740.52002,740.799988,727.900024,730.549988,730.549988,1491700,9.512839183,43
12.05.2016,732,735.369995,724.27002,728.070007,728.070007,1354700,9.507933368,44
13.05.2016,726.619995,731.289978,723.51001,724.830017,724.830017,1262200,9.501498892,45
